H0,H1,H2,date,alias
Tips for Making Your Mask Work,"Wearing masks can protect you and those around you, but they can come with frustrations. Here are some tips on making them work better for you.",,2020-06-27,nytimes
What to Do When You Need to Use a Public Bathroom During a Pandemic,Weve heard about toilet plume. And now were venturing out a little more. So whats a person with a full bladder to do?,,2020-06-27,nytimes
How Are My Kids Still Getting Sick In Lockdown?,Many infections come from within. Doctors explain what they are and what to do about them.,,2020-06-27,nytimes
Your Brother (or Sister or Mother) Is Asking for Money. Now What?,"Many Americans have lost work in the pandemic, and some are turning to their families for help. That can aggravate some awkward dynamics.",,2020-06-27,nytimes
"For the Actors of Take Me Out, a Coming-Out Party Is Postponed","Five were slated to make their Broadway debuts. Now? Theyre bunking with family, grappling with unemployment and fighting injustice.",,2020-06-27,nytimes
Its Time to End Racism in the Fashion Industry. But How?,Everyone thinks the industry needs to change. They dont yet agree on how.,,2020-06-27,nytimes
"Assaulted at 15, a Writer Looks Back and Comes Forward","Im done with shame, says Lacy Crawford, the author of the memoir Notes on a Silencing.",,2020-06-27,nytimes
We Cant Do Our Craft: Conductors Contend With the Pandemic,"With most orchestral concerts canceled, conductors have been largely invisible.",,2020-06-27,nytimes
The Secret to Perfect Pizza at Home? Cast Iron,It took months to develop this foolproof deep-dish recipe with a crispy crust. Quarantine made it a breakout star.,,2020-06-27,nytimes
Women With Cancer Awarded Billions in Baby Powder Suit,"An appellate court in Missouri upheld more than $2 billion in damages against Johnson & Johnson, saying the company knew there was asbestos in its baby powder.",,2020-06-27,nytimes
"Ancient Rome Was Teetering. Then a Volcano Erupted 6,000 Miles Away.","Scientists have linked historical political instability to a number of volcanic events, the latest involving an eruption in the Aleutian Islands.",,2020-06-27,nytimes
Study Suggests Coronavirus Emerged Much Earlier Than Thought. Some Are Skeptical.,"Scientists not involved in the study seriously doubt the findings, which challenge the current consensus on where and when the virus originated.",,2020-06-27,nytimes
How to Help Kids Embrace Mask-Wearing,Most children enjoy the chance to feel morally superior. Assign them to be the family mask monitors.,,2020-06-27,nytimes
Biden Is Getting a Lot of Advice on His V.P. Heres What Voters Think.,"A large majority of voters say race should not be a factor in his decision, and none of the best-known candidates has emerged as a favorite.",,2020-06-27,nytimes
How One Shoreline Took the Lives of 7 Young People,Do you see my friends? A year of tragedy along a strip of New York City beaches.,,2020-06-27,nytimes
Number of Covid-19 infections tops 10m worldwide,"The virus, which has led to almost 500,000 deaths, is spreading rapidly in many parts of the world.",,2020-06-28,bbcnews
US states re-impose curbs as virus cases pass 2.5m,Florida and Texas reverse moves to reopen business amid warnings hospitals may soon be overwhelmed.,,2020-06-28,bbcnews
UK 'on knife edge' ahead of lockdown easing,"A government scientist says he is ""worried"" about a surge in cases when pubs and restaurants reopen.",,2020-06-28,bbcnews
Trump tweets clip of supporter yelling 'white power',The president is criticised for sharing video from a pro-Trump rally at a Florida retirement home.,,2020-06-28,bbcnews
Boeing set for critical 737 Max flight tests,US regulators may start tests this week as Boeing bids to clear a milestone for the crisis-hit aircraft.,,2020-06-28,bbcnews
Russia denies paying Afghan militants for attacks,US reports say a Russian intelligence unit offered rewards for killing US and allied troops.,,2020-06-28,bbcnews
Starbucks suspends social media ads over hate speech,The coffee giant said it would pause advertising on some platforms in an effort to address hate speech.,,2020-06-28,bbcnews
Taiwan stages pride parade 'for the world',Taiwan has escaped the worst of the pandemic while hundreds of parades around the world have been axed.,,2020-06-28,bbcnews
Video 1 minute 30 seconds,Yemen's humanitarian crisis is worsening as coronavirus compounds the impact of the conflict.,,2020-06-28,bbcnews
"Five years of hunger, five years of war",,,2020-06-28,bbcnews
US state moves to strip Confederate sign from flag,The southern state of Mississippi is the last in the US to feature the emblem on its flag.,,2020-06-28,bbcnews
Clash of values as Poles choose president,"If President Andrzej Duda loses, the opposition could force a change in Polish politics.",,2020-06-28,bbcnews
'I feel like Bible Lazarus' - new Malawi president,Lazarus Chakwera says he feels like the biblical character of the same name who rose from the dead.,,2020-06-28,bbcnews
Johnson 'to reject return to austerity' for UK,Boris Johnson is to set out his plans for a post-lockdown economic recovery in a speech next week.,,2020-06-28,bbcnews
Rolling Stones warn Trump not to use their songs,"The president's campaign could face legal action if it ignores ""cease and desist directives"".",,2020-06-28,bbcnews
US states re-impose curbs as virus cases pass 2.5m,Florida and Texas reverse moves to reopen business amid warnings hospitals may soon be overwhelmed.,,2020-06-28,bbcnews
UK 'on knife edge' ahead of lockdown easing,"A government scientist says he is ""worried"" about a surge in cases when pubs and restaurants reopen.",,2020-06-28,bbcnews
Trump tweets clip of supporter yelling 'white power',The president is criticised for sharing video from a pro-Trump rally at a Florida retirement home.,,2020-06-28,bbcnews
Boeing set for critical 737 Max flight tests,US regulators may start tests this week as Boeing bids to clear a milestone for the crisis-hit aircraft.,,2020-06-28,bbcnews
Russia denies paying Afghan militants for attacks,US reports say a Russian intelligence unit offered rewards for killing US and allied troops.,,2020-06-28,bbcnews
Starbucks suspends social media ads over hate speech,The coffee giant said it would pause advertising on some platforms in an effort to address hate speech.,,2020-06-28,bbcnews
Taiwan stages pride parade 'for the world',Taiwan has escaped the worst of the pandemic while hundreds of parades around the world have been axed.,,2020-06-28,bbcnews
Video 1 minute 30 seconds,Yemen's humanitarian crisis is worsening as coronavirus compounds the impact of the conflict.,,2020-06-28,bbcnews
"Five years of hunger, five years of war",,,2020-06-28,bbcnews
US state moves to strip Confederate sign from flag,The southern state of Mississippi is the last in the US to feature the emblem on its flag.,,2020-06-28,bbcnews
Clash of values as Poles choose president,"If President Andrzej Duda loses, the opposition could force a change in Polish politics.",,2020-06-28,bbcnews
'I feel like Bible Lazarus' - new Malawi president,Lazarus Chakwera says he feels like the biblical character of the same name who rose from the dead.,,2020-06-28,bbcnews
Johnson 'to reject return to austerity' for UK,Boris Johnson is to set out his plans for a post-lockdown economic recovery in a speech next week.,,2020-06-28,bbcnews
Rolling Stones warn Trump not to use their songs,"The president's campaign could face legal action if it ignores ""cease and desist directives"".",,2020-06-28,bbcnews
Will the 'War on Terror' ever end?,,,2020-06-28,bbcnews
"How an $8,000 romcom made it to Netflix",,,2020-06-28,bbcnews
Cut negatives capture the isolation of lockdown,,,2020-06-28,bbcnews
Preventing a plague: Fighting Kenya's locusts,,,2020-06-28,bbcnews
Your pictures on the theme of 'walking',,,2020-06-28,bbcnews
ICYMI: Dog goggles and a plant audience,,,2020-06-28,bbcnews
Lockdown flypast marks Armed Forces Day,,,2020-06-28,bbcnews
"Why we say zigzag, not zagzig (and other quirks)",,,2020-06-28,bbcnews
From coronavirus doctor to Mr Gay World,,,2020-06-28,bbcnews
'The love letter that helped me flee my country',,,2020-06-28,bbcnews
How a populist imam is shaking up Mali's politics,,,2020-06-28,bbcnews
Being black in business is being 'on your own',,,2020-06-28,bbcnews
Paul Weller: 'People weren't ready for my house record',,,2020-06-28,bbcnews
A letter to our newborn American daughter,,,2020-06-28,bbcnews
The scammers promising poison on Facebook,,,2020-06-28,bbcnews
Is this the next Windrush scandal?,,,2020-06-28,bbcnews
The curious case of the ex-marine jailed for spying,,,2020-06-28,bbcnews
Why US is expecting an 'avalanche' of evictions,,,2020-06-28,bbcnews
"'After mum died, no-one talked about her for 15 years'",,,2020-06-28,bbcnews
